代號名稱,股數,成本價,現價
0050元大台灣50,44270,32.11,105.7
0056元大高股息,23100,14.65,52.8
006208富邦台50,680,169.35,244.55
00712復華富時不動產,1000,10.03,8.76
00830國泰費城半導體,300,48.82,90.55
00878國泰永續高股息,7500,16.4,32.49
00919群益台灣精選高息,1000,21.21,30.3
00929復華台灣科技優息,1500,17.16,30.94
00955中信日本商社,100,10.93,14.66
00981A主動統一台股增長,2000,26.75,31.33
1101台泥,22342,40.91,24.65
1477聚陽,5551,148.21,226
2049上銀,1106,283.33,364
2233宇隆,2310,117.94,329
2317鴻海,60,197.32,301.5
2330台積電,4,1647,2380
2359所羅門,250,167.6,143.5
2412中華電,1000,67.13,142
2481強茂,200,101.45,146
2884玉山金,4523,23.23,32.2
3363上詮,180,672.83,804
5439高技,60,286.33,374
6024群益期,1000,30.39,58.5
6438迅得,10,195.5,164
6442光聖,125,1197.33,1880
6706惠特,367,122.2,207
8446華研,2150,77.2,84.4
