產區,DIV,STYLE,料別,成衣件數,面料數量_yds,運輸方式,運送數量_yds,CRFP,成衣EXP,空陸運ETC,空陸運IN_FTY,海運IN_FTY,報價已含,空運單價,實打
NVN,GU-22,60226F051D_1,主布,12840,20259,陸運,20259,2026-08-24,2026-09-04,2026-08-14,2026-08-21,2026-09-04,主/配,5.40,6298
NVN,GU-22,60226F051D_1,配布,,5619,海運,5619,2026-08-24,2026-09-04,2026-07-13,,2026-07-31,主/配,,
NVN,GU-22,60226F051D_1,主布,27522,43274,陸運,43274,2026-08-28,2026-09-11,2026-08-18,2026-08-25,2026-09-07,主/配,5.40,13500
NVN,GU-22,60226F051D_1,配布,,5368,海運,5368,2026-08-28,2026-09-11,2026-07-13,,2026-07-31,主/配,,
NVN,GU-22,60226F051D_1,主布,14000,20536,陸運,20536,2026-09-04,2026-09-18,2026-08-25,2026-09-01,2026-09-14,主/配,5.40,7000
NVN,GU-22,60226F051D_1,主布,4008,6232,陸運,6232,2026-09-14,2026-09-25,2026-09-01,2026-09-08,2026-09-18,主/配,5.40,2100
NVN,GU-22,60226F051D_1,配布,,819,海運,819,2026-09-14,2026-09-25,2026-08-17,,2026-09-04,主/配,,
NVN,GU-22,60226F051F,主布,2016,3353,陸運,3353,2026-09-07,2026-09-18,2026-08-27,,,主/配,3.78,168
NVN,GU-22,60226F051F,配布,,419,海運,419,2026-09-07,2026-09-18,2026-08-10,,,主/配,,
NVN,GU-22,60226F051F,主布,1992,1643,陸運,1643,2026-09-07,2026-09-18,2026-08-20,,,主/配,3.78,160
NVN,GU-22,60226F051F,主布,1992,1162,陸運,1162,2026-09-07,2026-09-18,2026-08-24,,,主/配,3.78,120
NVN,GU-23,60227H046E,主布,1828,2199,陸運,2199,2026-09-28,2026-10-30,2026-09-14,,,主/配,1.04,584
NVN,GU-23,60227H046E,配布,,412,陸運,412,2026-09-28,2026-10-30,2026-09-14,,,主/配,,
NVN,GU-23,60227H046F,主布,3220,3597,陸運,3597,2026-09-28,2026-10-30,2026-09-14,,,主/配,1.04,582
NVN,GU-23,60227H046F,配布,,754,陸運,754,2026-09-28,2026-10-30,2026-09-14,,,主/配,,
NVN,GU-23,60227H046A,主布,294,387,陸運,387,2026-09-28,2026-11-11,2026-09-14,,,主/配,1.04,90
NVN,GU-23,60227H046A,配布,,77,陸運,77,2026-09-28,2026-11-11,2026-09-14,,,主/配,,
SMG,GU-27,60227H046B,主布,61248,76029,空運,76092,2026-10-12,2026-11-04,2026-09-14,2026-09-23,2026-10-09,主/配,1.04,10168
SMG,GU-27,60227H046B,配布,,15179,空運,15179,2026-10-12,2026-11-04,2026-09-14,2026-09-23,2026-10-09,主/配,1.04,2100
SMG,GU-27,60227H059E,主布,8388,14080,空運,14080,2026-09-14,2026-11-26,2026-08-31,,,主,0.64,9167
SMG,GU-27,60227H059F,主布,24000,34647,空運,34647,2026-09-16,2026-11-26,2026-08-31,2026-09-09,2026-09-25,主,0.64,5000
SMG,GU-27,60227H059A,主布,20000,30985,空運,30985,2026-09-18,2026-12-26,2026-08-31,2026-09-09,2026-09-25,主,0.64,2084
