產區,DIV,STYLE,料別,成衣件數,面料數量_yds,運輸方式,運送數量_yds,CRFP,成衣EXP,空陸運ETC,空陸運IN_FTY,海運IN_FTY,報價已含,空運單價,實打,超標金額_USD,決策時間點,狀態,決策人員,主要確認,結論,警示
NVN,GU-22,60226F051D_1,主布,12840,20259.0,陸運,20259.0,2026-08-24,2026-09-04,2026-08-14,2026-08-21,2026-09-04,主/配,5.4,6298.0,,2026-07-31,逾期11天,產區,是否需全量走卡車?,,
NVN,GU-22,60226F051D_1,配布,,5619.0,海運,5619.0,2026-08-24,2026-09-04,2026-07-13,,2026-07-31,主/配,,,,2026-06-29,逾期43天,產區,,可評估改海運(海運進廠尚有35天餘裕),
NVN,GU-22,60226F051D_1,主布,27522,43274.0,陸運,43274.0,2026-08-28,2026-09-11,2026-08-18,2026-08-25,2026-09-07,主/配,5.4,13500.0,,2026-08-04,逾期7天,產區,是否需全量走卡車?,,
NVN,GU-22,60226F051D_1,配布,,5368.0,海運,5368.0,2026-08-28,2026-09-11,2026-07-13,,2026-07-31,主/配,,,,2026-06-29,逾期43天,產區,,可評估改海運(海運進廠尚有42天餘裕),
NVN,GU-22,60226F051D_1,主布,14000,20536.0,陸運,20536.0,2026-09-04,2026-09-18,2026-08-25,2026-09-01,2026-09-14,主/配,5.4,7000.0,,2026-08-11,剩0天,產區,是否需全量走卡車?,,
NVN,GU-22,60226F051D_1,主布,4008,6232.0,陸運,6232.0,2026-09-14,2026-09-25,2026-09-01,2026-09-08,2026-09-18,主/配,5.4,2100.0,,2026-08-18,剩7天,主採/大貨MD,是否需全量走卡車?,,
NVN,GU-22,60226F051D_1,配布,,819.0,海運,819.0,2026-09-14,2026-09-25,2026-08-17,,2026-09-04,主/配,,,,2026-08-03,逾期8天,產區,,可評估改海運(海運進廠尚有21天餘裕),
NVN,GU-22,60226F051F,主布,2016,3353.0,陸運,3353.0,2026-09-07,2026-09-18,2026-08-27,,,主/配,3.78,168.0,,2026-08-13,剩2天,主採/大貨MD,是否需全量走卡車?,,
NVN,GU-22,60226F051F,配布,,419.0,海運,419.0,2026-09-07,2026-09-18,2026-08-10,,,主/配,,,,2026-07-27,逾期15天,主採/大貨MD,,,
NVN,GU-22,60226F051F,主布,1992,1643.0,陸運,1643.0,2026-09-07,2026-09-18,2026-08-20,,,主/配,3.78,160.0,,2026-08-06,逾期5天,主採/大貨MD,是否需全量走卡車?,,
NVN,GU-22,60226F051F,主布,1992,1162.0,陸運,1162.0,2026-09-07,2026-09-18,2026-08-24,,,主/配,3.78,120.0,,2026-08-10,逾期1天,主採/大貨MD,是否需全量走卡車?,,
NVN,GU-23,60227H046E,主布,1828,2199.0,陸運,2199.0,2026-09-28,2026-10-30,2026-09-14,,,主/配,1.04,584.0,,2026-08-31,剩20天,主採/大貨MD,是否需全量走卡車?,,
NVN,GU-23,60227H046E,配布,,412.0,陸運,412.0,2026-09-28,2026-10-30,2026-09-14,,,主/配,,,,2026-08-31,剩20天,主採/大貨MD,是否需全量走卡車?,,
NVN,GU-23,60227H046F,主布,3220,3597.0,陸運,3597.0,2026-09-28,2026-10-30,2026-09-14,,,主/配,1.04,582.0,,2026-08-31,剩20天,主採/大貨MD,是否需全量走卡車?,,
NVN,GU-23,60227H046F,配布,,754.0,陸運,754.0,2026-09-28,2026-10-30,2026-09-14,,,主/配,,,,2026-08-31,剩20天,主採/大貨MD,是否需全量走卡車?,,
NVN,GU-23,60227H046A,主布,294,387.0,陸運,387.0,2026-09-28,2026-11-11,2026-09-14,,,主/配,1.04,90.0,,2026-08-31,剩20天,主採/大貨MD,是否需全量走卡車?,,
NVN,GU-23,60227H046A,配布,,77.0,陸運,77.0,2026-09-28,2026-11-11,2026-09-14,,,主/配,,,,2026-08-31,剩20天,主採/大貨MD,是否需全量走卡車?,,
SMG,GU-27,60227H046B,主布,61248,76029.0,空運,76092.0,2026-10-12,2026-11-04,2026-09-14,2026-09-23,2026-10-09,主/配,1.04,10168.0,8134.4,2026-08-31,剩20天,產區,是否需全量走AIR?,可評估改海運(海運進廠尚有26天餘裕),
SMG,GU-27,60227H046B,配布,,15179.0,空運,15179.0,2026-10-12,2026-11-04,2026-09-14,2026-09-23,2026-10-09,主/配,1.04,2100.0,1680.0,2026-08-31,剩20天,產區,是否需全量走AIR?,可評估改海運(海運進廠尚有26天餘裕),
SMG,GU-27,60227H059E,主布,8388,14080.0,空運,14080.0,2026-09-14,2026-11-26,2026-08-31,,,主,0.64,9167.0,3666.8,2026-08-17,剩6天,主採/大貨MD,是否需全量走AIR?,,走空運但無海運IN FTY可比對
SMG,GU-27,60227H059F,主布,24000,34647.0,空運,34647.0,2026-09-16,2026-11-26,2026-08-31,2026-09-09,2026-09-25,主,0.64,5000.0,2000.0,2026-08-17,剩6天,產區,是否需全量走AIR?,可評估改海運(海運進廠尚有62天餘裕),
SMG,GU-27,60227H059A,主布,20000,30985.0,空運,30985.0,2026-09-18,2026-12-26,2026-08-31,2026-09-09,2026-09-25,主,0.64,2084.0,833.6,2026-08-17,剩6天,產區,是否需全量走AIR?,可評估改海運(海運進廠尚有92天餘裕),
