代號,名稱,類型,2025或近12月EPS,現金股利,現金殖利率,連續配息,獲利來源特性,波動性,適合誰,綜合評語
2886,兆豐金,官股金控,2.36,1.75(新高),約3.8~4.4%,25年,銀行+外匯為主、獲利穩,低,穩健存股/防禦,官股資優生、獲利品質最好、殖利率較高、首選
2892,第一金,官股金控,1.87,1.3(配發率新高),約3.1~4%,22年,銀行為主、獲利平穩,低,估值派存股,本益比最低最便宜、Q1大賺、CP值高
2880,華南金,官股金控,1.9,1.35+股0.1,約3.8%,23年,銀行為主,低,穩健存股,股息連三年走升、Q1成長強
5880,合庫金,官股金控,1.36,0.7+股0.3,約2.7~3.4%,15年,銀行為主,低,最保守存股,最穩但EPS與息收四檔最低、股票股利稀釋較多
2891,中信金,民營-銀行型,約4.57(估),約2.8(估),約4.2%,長年穩配,國內放款龍頭+海外+手續費、穩健,中低,穩健兼成長,規模大獲利平穩、殖利率不錯、銀行型優選
2884,玉山金,民營-銀行型,穩定,配股+配息,約4~5%,長年穩配,銀行為主、ROE高、重視股東,中低,成長型存股,長年配股又配息、成長型金控代表、體質佳
2887,台新新光金,民營-銀行型,整合中,估較高,約5%+,合併後重整,銀行+壽險合併、綜效待驗,中高,追高息但可承受風險,殖利率估最高但整合風險大、變數多、需觀察
2881,富邦金,民營-壽險型,約10.26(估),約5.2(估),約4.4%,長年配,壽險+銀行、獲利規模最大、彈性強,中高,要獲利彈性,獲利王但受股債市/匯率影響、波動大、非最穩
2882,國泰金,民營-壽險型,高,佳,約4~5%,長年配,壽險雙雄、獲利規模大,中高,要獲利彈性,同富邦金屬性、彈性大但波動大、看股債市臉色
2885,元大金,民營-證券型,穩定,穩配,約4~5%,長年配,證券龍頭+銀行、靠成交量,高,參與行情,證券龍頭、行情熱時賺、景氣循環性強、波動高
2883,凱基金,民營-證券型,循環,穩配,約4~5%,長年配,證券為主,高,參與行情,循環性強、與股市成交量高度連動
排序建議,,,,,,,,,,要最穩→兆豐金/第一金；穩中成長→中信金/玉山金；要彈性→富邦金/國泰金；博行情→元大金
重要提醒,,,,,,,,,,若已持有00878/00929/0056等高股息ETF,裡面多已內含大量金融股、可能已有金融曝險
備註,,,,,,,,,,以上為公開資料整理、非投資建議；股價/殖利率/EPS隨行情變動、部分民營金控數字為法人估、請以即時與MOPS資料為準
