代號名稱,股數,成本價,現價,成本金額,市值,損益金額,損益(%)
0050元大台灣50,44270,32.11,105.7,1421509,4679339,3257829,229.2
0056元大高股息,23100,14.65,52.8,338415,1219680,881265,260.4
006208富邦台50,680,169.35,244.55,115158,166294,51136,44.4
00712復華富時不動產,1000,10.03,8.76,10030,8760,-1270,-12.7
00830國泰費城半導體,300,48.82,90.55,14646,27165,12519,85.5
00878國泰永續高股息,7500,16.4,32.49,122999,243675,120675,98.1
00919群益台灣精選高息,1000,21.21,30.3,21210,30300,9090,42.9
00929復華台灣科技優息,1500,17.16,30.94,25740,46410,20670,80.3
00955中信日本商社,100,10.93,14.66,1093,1466,373,34.1
00981A主動統一台股增長,2000,26.75,31.33,53500,62660,9160,17.1
1101台泥,22342,40.91,24.65,914011,550730,-363280,-39.7
1477聚陽,5551,148.21,226,822713,1254526,431812,52.5
2049上銀,1106,283.33,364,313362,402584,89221,28.5
2233宇隆,2310,117.94,329,272441,759990,487548,179.0
2317鴻海,60,197.32,301.5,11839,18090,6250,52.8
2330台積電,4,1647,2380,6588,9520,2932,44.5
2359所羅門,250,167.6,143.5,41900,35875,-6025,-14.4
2412中華電,1000,67.13,142,67130,142000,74870,111.5
2481強茂,200,101.45,146,20290,29200,8910,43.9
2884玉山金,4523,23.23,32.2,105069,145640,40571,38.6
3363上詮,180,672.83,804,121109,144720,23610,19.5
5439高技,60,286.33,374,17179,22440,5260,30.6
6024群益期,1000,30.39,58.5,30390,58500,28110,92.5
6438迅得,10,195.5,164,1955,1640,-315,-16.1
6442光聖,125,1197.33,1880,149666,235000,85333,57.0
6706惠特,367,122.2,207,44847,75969,31121,69.4
8446華研,2150,77.2,84.4,165980,181460,15480,9.3
