標的,產業/角色,現佔比(%),加碼理由,注意/風險,適合目標,參考金額
2412中華電,電信防禦/領息,1.3,接替台泥的領息+抗跌角色、波動極低,已漲多(+111%)估值不便宜,求穩定現金流,50000
2884玉山金,金融/領息,1.4,配息穩健、金控相對穩、補金融曝險,受利率與景氣影響,求穩定+金融,45000
2330台積電,半導體核心龍頭,0.1,僅持4股嚴重低配、世界級護城河,單價高(約2380)、已漲多,求長期核心成長,40000
2317鴻海,AI伺服器/權值,0.1,僅持60股、AI題材+估值低+有息,代工毛利薄,求成長+題材,40000
2049上銀,工業自動化龍頭,3.8,自動化/機器人趨勢、與其他持股不重疊,強景氣循環、宜逢低分批,求成長但能等時機,需等時機
─,─,─,─,─,─,─
避免加碼,標的,原因,─,─,─,─
避免,1477聚陽,單一個股已佔11.9%過度集中,─,─,─,─
避免,2233宇隆,單一個股已佔7.2%偏重,─,─,─,─
避免,6442光聖/3363上詮,小型光通訊已漲多、波動大,─,─,─,─
避免,2359所羅門/6438迅得,本身仍虧損中、勿加碼攤平,─,─,─,─
避免,5439高技/2481強茂,小型股、無突出加分,─,─,─,─
