代號名稱,類別,股數,均價,成本金額,現價,市值,損益金額,損益(%),體質分類
0050元大台灣50,現買,200,53.08,10615,105.7,21140,10525,99.2,獲利-ETF
00878國泰永續高股息,現買,7100,18.8,133469,32.49,230679,97210,72.8,獲利-ETF
00881國泰台灣科技龍頭,現買,12300,15.93,195880,55.3,680190,484310,247.2,獲利-ETF
00929復華台灣科技優息,現買,7500,19.9,149242,30.94,232050,82808,55.5,獲利-ETF
1229聯華,現買,2386,49.96,119197,43.2,103073,-16124,-13.5,虧損-體質穩
1231聯華食,現買,920,133.78,123073,86.1,79212,-43861,-35.6,虧損-體質穩
1442名軒,現買,200,59.58,11916,27.2,5440,-6476,-54.3,虧損-高風險
1476儒鴻,現買,210,488.77,102641,351.5,73815,-28826,-28.1,虧損-體質穩
1477聚陽,現買,470,214.91,101009,226,106220,5211,5.2,小幅獲利
1734杏輝,現買,226,31.46,7110,31.3,7073,-37,-0.5,持平
2002中鋼,現買,5227,27.3,142703,18.95,99050,-43653,-30.6,虧損-景氣循環
2247汎德永業,現買,50,299.92,14996,220,11000,-3996,-26.6,虧損-觀察
2330台積電,現買,260,470.7,122382,2380,618800,496418,405.6,獲利-核心
2382廣達,現買,20,259.35,5187,400.5,8010,2823,54.4,獲利
2395研華,現買,30,338.47,10154,515,15450,5296,52.2,獲利
2441超豐,現買,100,60.48,6048,134,13400,7352,121.6,獲利
2614東森,現買,686,34.16,23433,18.45,12656,-10777,-46.0,虧損-高風險
2615萬海,現買,598,141.48,84604,84.2,50351,-34253,-40.5,虧損-景氣循環
2881富邦金,現買,354,63.47,22470,113.5,40178,17708,78.8,獲利
2887台新新光金,現買,1000,16.22,16223,26.1,26100,9877,60.9,獲利
2892第一金,現買,5883,17.59,103495,28.15,165606,62111,60.0,獲利
3034聯詠,現買,50,433.1,21655,507,25350,3695,17.1,獲利
3406玉晶光,現買,50,443,22150,595,29750,7600,34.3,獲利
4104佳醫,現買,164,85.33,13994,70.4,11546,-2448,-17.5,虧損-觀察
4551智伸科,現買,75,113.16,8487,152.5,11438,2951,34.8,獲利
5347世界,現買,10,170.2,1702,171.5,1715,13,0.8,持平
5525順天,現買,625,32.25,20157,21.8,13625,-6532,-32.4,虧損-觀察
5533皇鼎,現買,100,24.68,2468,14,1400,-1068,-43.3,虧損-高風險
6026福邦證,現買,300,15.32,4596,17.8,5340,744,16.2,獲利
6177達麗,現買,570,40.33,22990,43,24510,1520,6.6,小幅獲利
6442光聖,現買,10,395.6,3956,1880,18800,14844,375.2,獲利
6531愛普*,現買,10,366.5,3665,1075,10750,7085,193.3,獲利
6533晶心科,現買,130,408.18,53064,241,31330,-21734,-41.0,虧損-高風險
6641基士德-KY,現買,200,45.01,9002,18.3,3660,-5342,-59.3,虧損-高風險(KY)
6756威鋒電子,現買,210,252.69,53064,102.5,21525,-31539,-59.4,虧損-高風險
8016矽創,現買,300,289.58,86873,302,90600,3727,4.3,小幅獲利
8081致新,現買,50,247.34,12367,284.5,14225,1858,15.0,獲利
8341日友,現買,100,106.65,10665,76.7,7670,-2995,-28.1,虧損-觀察
9906欣巴巴,現買,510,86.16,43941,36.55,18641,-25300,-57.6,虧損-高風險
