動作,代號名稱,金額,佔比/說明,理由
賣出,6533晶心科,31330,釋出現金,深套-41%、CPU IP高基期、授權營收未明顯兌現
賣出,6756威鋒電子,21525,釋出現金,深套-59%、IC設計高基期、營收動能未回
賣出,9906欣巴巴,18641,釋出現金,深套-58%、小型內需、流動性低轉機不明
賣出,2614東森,12656,釋出現金,深套-46%、本業轉盈未見
賣出,1442名軒,5440,釋出現金,深套-54%、營建小型景氣循環
賣出,6641基士德-KY,3660,釋出現金,深套-59%、KY+中概財務疑慮、最該先清
賣出,5533皇鼎,1400,釋出現金,小部位整併清理、對績效無感
─,─,─,─,─
小計,釋出現金合計,94652,7檔賣出,實現虧損但騰出資金重新部署
─,─,─,─,─
買進,2317鴻海,40000,約42%,權值核心、AI伺服器+估值低+有息、唯一核心級個股
加碼,0050元大台灣50,35000,約37%,投機個股換成市值型ETF、直接降低過度分散與個股風險
保留,現金,19652,約21%,留子彈+等上銀(2049)工具機/資本支出循環低點再分批進
