排名,代號名稱,股數,均價,現價,成本金額,市值,損益金額,損益(%),佔總虧損(%),體質分類,建議檢視重點
1,1231聯華食,920,133.78,86.1,123073,79212,-43861,-35.6,15.4,虧損-體質穩,食品內需、相對穩、可續抱領息或分批調節
2,2002中鋼,5227,27.3,18.95,142703,99050,-43653,-30.6,15.3,虧損-景氣循環,鋼鐵景氣循環、有配息、等景氣回溫
3,2615萬海,598,141.48,84.2,84604,50351,-34253,-40.5,12.0,虧損-景氣循環,航運景氣循環、波動大、看運價
4,6756威鋒電子,210,252.69,102.5,53064,21525,-31539,-59.4,11.1,虧損-高風險,IC設計高基期、看營收動能是否回溫
5,1476儒鴻,210,488.77,351.5,102641,73815,-28826,-28.1,10.1,虧損-體質穩,紡織龍頭、體質佳、可續抱
6,9906欣巴巴,510,86.16,36.55,43941,18641,-25300,-57.6,8.9,虧損-高風險,小型內需、流動性低、優先檢視
7,6533晶心科,130,408.18,241,53064,31330,-21734,-41.0,7.6,虧損-高風險,CPU IP高基期、看授權營收
8,1229聯華,2386,49.96,43.2,119197,103073,-16124,-13.5,5.7,虧損-體質穩,控股+食品、相對穩
9,2614東森,686,34.16,18.45,23433,12656,-10777,-46.0,3.8,虧損-高風險,物流電商、看本業是否轉盈
10,5525順天,625,32.25,21.8,20157,13625,-6532,-32.4,2.3,虧損-觀察,製藥、看新藥與獲利進度
11,1442名軒,200,59.58,27.2,11916,5440,-6476,-54.3,2.3,虧損-高風險,營建景氣循環、波動大
12,6641基士德-KY,200,45.01,18.3,9002,3660,-5342,-59.3,1.9,虧損-高風險(KY),KY+中概、優先確認財務體質
13,2247汎德永業,50,299.92,220,14996,11000,-3996,-26.6,1.4,虧損-觀察,汽車經銷、看車市景氣
14,8341日友,100,106.65,76.7,10665,7670,-2995,-28.1,1.1,虧損-觀察,醫療廢棄物、中國曝險
15,4104佳醫,164,85.33,70.4,13994,11546,-2448,-17.5,0.9,虧損-觀察,醫療通路、相對穩
16,5533皇鼎,100,24.68,14,2468,1400,-1068,-43.3,0.4,虧損-高風險,小型股、流動性低
17,1734杏輝,226,31.46,31.3,7110,7073,-37,-0.5,0.0,持平,幾乎打平、影響極小
