排名,代號名稱,股數,均價,現價,成本金額,市值,損益金額,損益(%),佔總獲利(%),分類,了結思考
1,2330台積電,260,470.7,2380,122382,618800,496418,405.6,37.4,獲利-核心,核心資產、基本面強、佔比過高可分批調節降集中度
2,00881國泰台灣科技龍頭,12300,15.93,55.3,195880,680190,484310,247.2,36.5,獲利-ETF,科技ETF、報酬已高、可定期再平衡或部分了結
3,00878國泰永續高股息,7100,18.8,32.49,133469,230679,97210,72.8,7.3,獲利-ETF,高股息ETF、適合領息長抱
4,00929復華台灣科技優息,7500,19.9,30.94,149242,232050,82808,55.5,6.2,獲利-ETF,高股息ETF、適合領息長抱
5,2892第一金,5883,17.59,28.15,103495,165606,62111,60.0,4.7,獲利-金融,金融股、有配息、可續抱領息
6,2881富邦金,354,63.47,113.5,22470,40178,17708,78.8,1.3,獲利-金融,金融股、有配息、可續抱領息
7,6442光聖,10,395.6,1880,3956,18800,14844,375.2,1.1,獲利-飆股,漲幅375%、波動大、可分批獲利了結
8,0050元大台灣50,200,53.08,105.7,10615,21140,10525,99.2,0.8,獲利-ETF,市值型ETF、長期核心部位
9,2887台新新光金,1000,16.22,26.1,16223,26100,9877,60.9,0.7,獲利-金融,金融股、有配息、可續抱領息
10,3406玉晶光,50,443,595,22150,29750,7600,34.3,0.6,獲利-波動,光學股波動大、可部分了結
11,2441超豐,100,60.48,134,6048,13400,7352,121.6,0.6,獲利,封測、漲幅121%、可部分了結
12,6531愛普*,10,366.5,1075,3665,10750,7085,193.3,0.5,獲利-飆股,漲幅193%、小部位、可分批了結
13,2395研華,30,338.47,515,10154,15450,5296,52.2,0.4,獲利,工業電腦、可續抱或部分了結
14,1477聚陽,470,214.91,226,101009,106220,5211,5.2,小幅獲利,紡織、小幅獲利、看後續動能
15,8016矽創,300,289.58,302,86873,90600,3727,4.3,小幅獲利,IC設計、小幅獲利、看後續動能
16,3034聯詠,50,433.1,507,21655,25350,3695,17.1,獲利,IC設計、看後續動能
17,4551智伸科,75,113.16,152.5,8487,11438,2951,34.8,0.2,獲利,零組件、可續抱
18,2382廣達,20,259.35,400.5,5187,8010,2823,54.4,0.2,獲利,AI伺服器、小部位、看動能
19,8081致新,50,247.34,284.5,12367,14225,1858,15.0,0.1,獲利,IC設計、小幅獲利
20,6177達麗,570,40.33,43,22990,24510,1520,6.6,0.1,小幅獲利,營建、小幅獲利
21,6026福邦證,300,15.32,17.8,4596,5340,744,16.2,0.1,獲利,券商股、看行情
22,5347世界,10,170.2,171.5,1702,1715,13,0.8,持平,幾乎打平、影響極小
